GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MATSim Episim,org.matsim.episim.model,DefaultAntibodyModel,0,323,1,37,0,68,1,24,0,6
MATSim Episim,org.matsim.episim.model,OldSymmetricContactModel,40,0,0,0,11,0,5,0,5,0
MATSim Episim,org.matsim.episim.model,VaccinationType,35,266,5,19,6,60,6,26,1,19
MATSim Episim,org.matsim.episim.model,DefaultFaceMaskModel,0,11,0,0,0,4,0,2,0,2
MATSim Episim,org.matsim.episim.model,InitialInfectionHandler,0,3,0,0,0,2,0,2,0,2
MATSim Episim,org.matsim.episim.model,TransmissionWeights,47,243,5,16,8,53,5,22,0,16
MATSim Episim,org.matsim.episim.model,Transition.FixedTransition,2,43,1,7,0,9,1,7,0,4
MATSim Episim,org.matsim.episim.model,DefaultContactModel,33,358,6,48,5,67,5,28,0,6
MATSim Episim,org.matsim.episim.model,SqrtContactModel,36,0,0,0,10,0,5,0,5,0
MATSim Episim,org.matsim.episim.model,DirectContactModel,142,0,12,0,32,0,16,0,10,0
MATSim Episim,org.matsim.episim.model,Pathogen,2,41,2,2,0,10,2,6,0,6
MATSim Episim,org.matsim.episim.model,ConfigurableProgressionModel,139,931,33,111,19,178,26,61,0,15
MATSim Episim,org.matsim.episim.model,Transition.LogNormalTransition,7,72,4,10,1,12,4,7,0,4
MATSim Episim,org.matsim.episim.model,AgeDependentInfectionModelWithSeasonality,225,65,0,6,33,11,3,6,3,3
MATSim Episim,org.matsim.episim.model,Transition.Builder,19,334,3,21,2,52,3,16,0,7
MATSim Episim,org.matsim.episim.model,AbstractContactModel,106,739,26,119,21,138,26,69,1,21
MATSim Episim,org.matsim.episim.model,Transition.ToHolder,8,9,0,0,1,4,1,1,1,1
MATSim Episim,org.matsim.episim.model,SymmetricContactModel,43,423,14,56,8,80,11,29,0,5
MATSim Episim,org.matsim.episim.model,PairWiseContactModel,88,0,2,0,22,0,10,0,9,0
MATSim Episim,org.matsim.episim.model,AbstractProgressionModel,1,279,0,34,1,61,1,26,1,9
MATSim Episim,org.matsim.episim.model,AgeAndProgressionDependentInfectionModelWithSeasonality,24,465,4,6,5,65,4,8,1,6
MATSim Episim,org.matsim.episim.model,SimulationListener,1,3,0,0,1,3,1,3,1,3
MATSim Episim,org.matsim.episim.model,InfectionModelWithAntibodies,767,0,42,0,130,0,28,0,7,0
MATSim Episim,org.matsim.episim.model,RandomInitialInfections,33,193,13,15,2,36,10,13,0,9
MATSim Episim,org.matsim.episim.model,FaceMask,71,108,7,5,11,26,10,9,5,8
MATSim Episim,org.matsim.episim.model,ContactTransmissionType,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim.model,DirectContactModel.Group,50,0,8,0,10,0,8,0,4,0
MATSim Episim,org.matsim.episim.model,VirusStrain,16,767,4,18,3,107,4,26,0,19
MATSim Episim,org.matsim.episim,EpisimReporting.InfectionsWriterFields,0,225,0,0,0,4,0,1,0,1
MATSim Episim,org.matsim.episim,InfectionEpisodeWriter.HomeContainer,0,9,0,0,0,4,0,1,0,1
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup.PairRule,0,44,0,8,0,8,0,7,0,3
MATSim Episim,org.matsim.episim,ReplayHandler.EventReader,14,117,4,18,2,28,4,9,0,2
MATSim Episim,org.matsim.episim,VaccinationConfigGroup.VaccinationParams,64,481,10,22,11,98,14,50,7,41
MATSim Episim,org.matsim.episim,EpisimConfigGroup.WriteEvents,0,33,0,0,0,6,0,1,0,1
MATSim Episim,org.matsim.episim,InfectionEventHandler,218,2674,31,181,39,466,31,113,3,35
MATSim Episim,org.matsim.episim,EpisimRunner,46,512,6,36,12,122,6,24,0,9
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup.ContactGroupParams,22,92,5,9,3,22,5,10,0,8
MATSim Episim,org.matsim.episim,EpisimConfigGroup.FacilitiesHandling,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimModule,5,197,1,3,1,40,1,17,0,16
MATSim Episim,org.matsim.episim,DataUtils,62,88,3,3,13,16,3,3,1,2
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,8,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimContainer,40,306,5,9,3,81,6,27,2,24
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,8,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,InfectionEventHandler.1.new TypeLiteral() {...},0,8,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup.Resolver,6,447,3,59,1,83,3,37,0,9
MATSim Episim,org.matsim.episim,ReplayHandler,38,253,10,22,6,49,10,16,0,10
MATSim Episim,org.matsim.episim,EpisimPerson.PerformedActivity,10,19,0,0,2,7,2,3,2,3
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup.ResolvedPair,0,12,0,0,0,5,0,1,0,1
MATSim Episim,org.matsim.episim,TracingConfigGroup.Strategy,0,39,0,0,0,7,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup,167,906,26,37,30,253,30,116,8,105
MATSim Episim,org.matsim.episim,TestingConfigGroup.Strategy,0,27,0,0,0,5,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimReporting.InfectionEventsWriterFields,0,57,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup.ContagiousOptimization,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,GuiceUtils.IsSingleTonVisitor,8,10,2,0,1,3,2,3,1,3
MATSim Episim,org.matsim.episim,EpisimConfigGroup.EventFileParams,76,37,10,0,12,13,9,6,4,6
MATSim Episim,org.matsim.episim,InfectionEpisodeWriter.Episode,0,208,1,7,0,40,1,8,0,5
MATSim Episim,org.matsim.episim,AntibodyConfigGroup.AntibodyParams,17,197,4,11,3,48,4,22,0,18
MATSim Episim,org.matsim.episim,InfectionEventHandler.EpisimFacility,0,4,0,0,0,2,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup.SingleEventFile,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,TestingConfigGroup.TestingParams,308,140,12,2,52,34,28,15,21,15
MATSim Episim,org.matsim.episim,GuiceUtils,3,48,0,0,1,6,1,3,1,3
MATSim Episim,org.matsim.episim,TracingConfigGroup.CapacityType,0,15,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup.DistrictLevelRestrictions,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimReporting.AgeGroup,39,0,0,0,8,0,2,0,2,0
MATSim Episim,org.matsim.episim,TestingConfigGroup,91,131,5,3,28,37,16,15,12,15
MATSim Episim,org.matsim.episim,VaccinationConfigGroup,146,592,22,40,22,123,24,64,6,51
MATSim Episim,org.matsim.episim,TracingConfigGroup.QuarantineRelease,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimUtils.FuncFitter,80,0,2,0,22,0,3,0,2,0
MATSim Episim,org.matsim.episim,PathogenConfigGroup.PathogenParams,24,295,5,25,5,72,6,35,1,25
MATSim Episim,org.matsim.episim,TracingConfigGroup,181,295,0,0,40,86,23,46,23,46
MATSim Episim,org.matsim.episim,EpisimPerson.VaccinationStatus,0,15,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,PathogenConfigGroup.ProgressionParams,0,330,0,0,0,72,0,26,0,26
MATSim Episim,org.matsim.episim,BatchRun,232,307,25,21,51,59,23,13,7,6
MATSim Episim,org.matsim.episim,EpisimConfigGroup.ReportTimeUse,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,BatchRun.Metadata,23,0,0,0,8,0,3,0,3,0
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup.ContactPairParams,25,124,6,22,3,32,6,22,0,14
MATSim Episim,org.matsim.episim,InfectionEpisodeWriter,51,795,16,70,9,148,15,51,0,23
MATSim Episim,org.matsim.episim,ContactTransmissionConfigGroup,155,966,24,96,28,192,25,70,1,34
MATSim Episim,org.matsim.episim,InfectionEventHandler.EpisimVehicle,0,4,0,0,0,2,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimReporting.InfectionReport,0,388,0,0,0,74,0,3,0,3
MATSim Episim,org.matsim.episim,EpisimPerson.DiseaseStatus,0,57,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimPerson,162,1686,22,126,18,331,24,149,5,94
MATSim Episim,org.matsim.episim,PreparedRun,278,19,22,0,49,7,16,2,5,2
MATSim Episim,org.matsim.episim,VaccinationConfigGroup.VaccinationConfigGroupParameter,0,191,0,10,0,33,0,14,0,9
MATSim Episim,org.matsim.episim,PathogenConfigGroup,37,343,8,34,7,72,8,30,0,17
MATSim Episim,org.matsim.episim,EpisimUtils.Extrapolation,0,27,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,AntibodyConfigGroup,27,1239,6,48,5,174,6,39,0,18
MATSim Episim,org.matsim.episim,ReplayEventsTask,0,131,0,20,0,30,0,14,0,4
MATSim Episim,org.matsim.episim,VirusStrainConfigGroup,21,340,6,38,3,70,6,30,0,14
MATSim Episim,org.matsim.episim,EpisimPerson.QuarantineStatus,0,27,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,BatchRun.Option,47,0,0,0,11,0,5,0,5,0
MATSim Episim,org.matsim.episim,EpisimConfigGroup.SnapshotSeed,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimPerson.TestStatus,0,21,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim,TrajectoryHandler,183,541,24,52,31,112,16,38,1,15
MATSim Episim,org.matsim.episim,InfectionEventHandler.new AbstractModule() {...},0,70,0,0,0,10,0,2,0,2
MATSim Episim,org.matsim.episim,PreparedRun.Run,0,15,0,0,0,6,0,1,0,1
MATSim Episim,org.matsim.episim,VirusStrainConfigGroup.StrainParams,24,239,3,7,4,62,7,31,4,29
MATSim Episim,org.matsim.episim,GuiceUtils.CopyModule,6,93,0,12,2,21,0,8,0,2
MATSim Episim,org.matsim.episim,EpisimReporting,674,2980,73,150,112,485,68,89,8,32
MATSim Episim,org.matsim.episim,EpisimConfigGroup.ActivityHandling,0,15,0,0,0,3,0,1,0,1
MATSim Episim,org.matsim.episim,EpisimConfigGroup.InfectionParams,31,82,4,2,8,25,5,12,3,11
MATSim Episim,org.matsim.episim,EpisimUtils,935,763,82,76,166,146,56,51,11,17
MATSim Episim,org.matsim.episim.model.vaccination,VaccinationFromData,20,819,9,47,4,130,9,29,0,10
MATSim Episim,org.matsim.episim.model.vaccination,VaccinationFromData.AgeGroup,0,23,0,0,0,7,0,2,0,2
MATSim Episim,org.matsim.episim.model.vaccination,NoVaccination,0,3,0,0,0,1,0,1,0,1
MATSim Episim,org.matsim.episim.model.vaccination,VaccinationFromData.Config,0,19,0,0,0,6,0,2,0,2
MATSim Episim,org.matsim.episim.model.vaccination,VaccinationModel,4,33,2,2,3,7,3,3,1,3
MATSim Episim,org.matsim.episim.model.vaccination,VaccinationByAge,18,141,9,23,2,32,8,11,0,3
MATSim Episim,org.matsim.episim.model.vaccination,RandomVaccination,28,123,8,14,2,24,7,11,0,7
MATSim Episim,org.matsim.episim.util,EpisimSplittableRandom,110,412,21,33,17,76,22,30,1,24
MATSim Episim,org.matsim.episim.model.progression,AntibodyDependentTransitionModel,52,334,21,41,8,74,21,27,1,13
MATSim Episim,org.matsim.episim.model.progression,DiseaseStatusTransitionModel,45,59,9,9,3,12,6,6,0,3
MATSim Episim,org.matsim.episim.model.progression,DefaultDiseaseStatusTransitionModel,22,178,3,19,3,35,4,18,1,7
MATSim Episim,org.matsim.episim.model.progression,AgeDependentDiseaseStatusTransitionModel,0,19,0,0,0,4,0,2,0,2
MATSim Episim,org.matsim.episim.reporting,AsyncEpisimWriter.LogEvent,38,0,2,0,11,0,3,0,2,0
MATSim Episim,org.matsim.episim.reporting,EpisimWriter,136,164,17,11,47,54,14,13,2,11
MATSim Episim,org.matsim.episim.reporting,AsyncEpisimWriter.StringEventTranslator,22,0,2,0,7,0,3,0,2,0
MATSim Episim,org.matsim.episim.reporting,AsyncEpisimWriter.StringArrayEventTranslator,38,0,4,0,7,0,4,0,2,0
MATSim Episim,org.matsim.episim.reporting,AsyncEpisimWriter,144,0,2,0,35,0,11,0,10,0
MATSim Episim,org.matsim.episim.model.activity,ActivityParticipationModel,0,46,0,10,0,9,0,6,0,1
MATSim Episim,org.matsim.episim.model.activity,LocationBasedParticipationModel,24,147,9,17,4,30,9,7,0,3
MATSim Episim,org.matsim.episim.model.activity,DefaultParticipationModel,20,126,6,16,3,23,5,9,0,3
MATSim Episim,org.matsim.episim.model.activity,AllParticipationModel,0,6,0,0,0,4,0,4,0,4
